timestamp,location,co,nh3,temperature,humidity,co2,voc,pm25,iaq
2025-11-25 12:00:27+05:30,1256,163.0,42.0,33.8,49.0,520,18,21,154.9
2025-11-25 12:01:30+05:30,1257,162.0,37.0,33.8,49.0,637,36,9,179.0
2025-11-25 12:02:32+05:30,1258,173.0,47.0,33.7,50.0,679,42,3,193.2
2025-11-25 12:03:34+05:30,1259,168.0,37.0,33.3,51.0,539,21,0,156.7
2025-11-25 12:04:36+05:30,1260,168.0,37.0,33.3,52.0,697,45,0,193.1
2025-11-25 12:05:37+05:30,1261,170.0,40.0,33.3,52.0,717,48,20,201.0
2025-11-25 12:06:39+05:30,1262,171.0,40.0,33.3,53.0,730,50,4,202.6
2025-11-25 12:07:40+05:30,1263,171.0,42.0,33.3,53.0,570,25,6,166.4
2025-11-25 12:08:42+05:30,1264,167.0,38.0,33.3,53.0,692,44,3,192.3
2025-11-25 12:09:44+05:30,1265,172.0,40.0,33.3,53.0,699,45,0,195.2
2025-11-25 12:10:45+05:30,1266,172.0,40.0,33.3,53.0,714,47,4,199.0
2025-11-25 12:11:47+05:30,1267,168.0,39.0,33.3,52.0,615,32,0,174.7
2025-11-25 12:12:48+05:30,1268,168.0,39.0,33.3,52.0,702,46,0,194.9
2025-11-25 12:13:50+05:30,1269,166.0,42.0,33.3,52.0,668,40,4,187.8
2025-11-25 12:14:51+05:30,1270,167.0,39.0,33.3,51.0,612,32,0,173.9
2025-11-25 12:15:53+05:30,1271,167.0,42.0,33.3,50.0,600,30,3,172.3
2025-11-25 12:16:55+05:30,1272,170.0,43.0,33.3,50.0,581,27,5,169.0
2025-11-25 12:17:56+05:30,1273,178.0,44.0,33.3,50.0,546,22,14,163.8
2025-11-25 12:18:58+05:30,1274,163.0,42.0,33.3,49.0,520,18,19,154.7
2025-11-25 12:20:00+05:30,1275,161.0,37.0,33.8,45.0,502,15,0,146.7
2025-11-25 12:21:01+05:30,1276,163.0,44.0,33.8,44.0,501,15,4,149.4
2025-11-25 12:22:03+05:30,1277,156.0,35.0,33.8,43.0,519,18,0,149.1
2025-11-25 12:23:05+05:30,1278,156.0,35.0,33.8,42.0,534,20,0,152.5
2025-11-25 12:24:06+05:30,1279,154.0,38.0,33.8,41.0,501,15,0,145.4
2025-11-25 12:25:08+05:30,1280,150.0,38.0,34.2,40.0,534,20,1,152.3
2025-11-25 12:26:10+05:30,1281,154.0,40.0,34.2,39.0,542,21,0,155.4
2025-11-25 12:27:11+05:30,1282,153.0,42.0,34.2,39.0,551,23,6,158.6
2025-11-25 12:28:13+05:30,1283,151.0,38.0,34.2,39.0,526,19,0,150.6
2025-11-25 12:29:14+05:30,1284,151.0,38.0,33.8,40.0,650,38,0,179.2
2025-11-25 12:30:16+05:30,1285,156.0,40.0,33.8,41.0,679,42,0,187.4
2025-11-25 12:31:18+05:30,1286,149.0,37.0,33.8,41.0,710,47,1,192.4
2025-11-25 12:32:19+05:30,1287,156.0,36.0,33.8,42.0,656,39,0,181.0
2025-11-25 12:33:20+05:30,1288,157.0,43.0,33.8,41.0,704,46,0,194.3
2025-11-25 12:34:22+05:30,1289,154.0,35.0,33.8,42.0,726,49,0,196.3
2025-11-25 12:35:23+05:30,1290,159.0,45.0,33.8,43.0,752,53,7,207.0
2025-11-25 12:36:25+05:30,1291,157.0,38.0,33.4,44.0,591,29,134,180.2
2025-11-25 12:37:27+05:30,1292,158.0,38.0,33.3,45.0,810,62,0,217.4
2025-11-25 12:38:28+05:30,1293,159.0,39.0,33.3,45.0,830,65,0,222.5
2025-11-25 12:39:30+05:30,1294,164.0,40.0,33.3,45.0,817,63,136,234.4
2025-11-25 12:40:31+05:30,1295,163.0,43.0,33.3,46.0,851,68,0,229.3
2025-11-25 12:41:33+05:30,1296,161.0,38.0,33.3,46.0,868,71,0,231.4
2025-11-25 12:42:35+05:30,1297,159.0,38.0,33.3,46.0,857,69,0,228.4
2025-11-25 12:43:36+05:30,1298,162.0,38.0,33.3,46.0,874,72,0,233.0
2025-11-25 12:44:39+05:30,1299,162.0,38.0,33.3,47.0,877,72,0,233.6
2025-11-25 12:45:40+05:30,1300,165.0,42.0,33.3,47.0,882,73,0,236.6
2025-11-25 12:46:42+05:30,1301,168.0,40.0,33.3,47.0,897,75,120,252.0
2025-11-25 12:47:44+05:30,1302,163.0,38.0,33.3,48.0,895,75,0,238.0
2025-11-25 12:48:45+05:30,1303,167.0,43.0,33.3,48.0,900,76,0,241.5
2025-11-25 12:49:47+05:30,1304,163.0,35.0,33.3,48.0,885,73,0,234.7
2025-11-25 12:50:49+05:30,1305,167.0,43.0,33.3,48.0,885,73,1,238.0
2025-11-25 12:51:51+05:30,1306,163.0,38.0,33.3,48.0,857,69,5,229.7
2025-11-25 12:52:52+05:30,1307,163.0,38.0,33.3,47.0,855,69,0,228.8
2025-11-25 12:53:53+05:30,1308,163.0,38.0,33.3,47.0,870,71,0,232.2
2025-11-25 12:54:55+05:30,1309,164.0,40.0,33.3,48.0,874,72,0,234.0
2025-11-25 12:55:56+05:30,1310,167.0,42.0,33.3,48.0,865,70,5,233.5
2025-11-25 12:56:57+05:30,1311,164.0,38.0,33.3,48.0,840,67,7,226.3
2025-11-25 12:57:59+05:30,1312,163.0,38.0,33.3,47.0,815,63,0,219.6
2025-11-25 12:59:00+05:30,1313,163.0,35.0,33.3,46.0,795,60,0,214.1
2025-11-25 13:00:02+05:30,1314,167.0,40.0,33.2,46.0,785,58,0,214.0
2025-11-25 13:01:03+05:30,1315,169.0,40.0,33.2,46.0,778,57,4,213.2
2025-11-25 13:02:05+05:30,1316,167.0,42.0,33.2,46.0,686,43,28,194.6
2025-11-25 13:03:06+05:30,1317,165.0,42.0,33.1,46.0,772,56,3,211.5
2025-11-25 13:04:09+05:30,1318,172.0,48.0,33.2,46.0,770,56,48,218.8
2025-11-25 13:05:11+05:30,1319,163.0,38.0,33.3,46.0,659,39,0,183.6
2025-11-25 13:06:13+05:30,1320,166.0,42.0,33.3,45.0,706,46,3,196.5
2025-11-25 13:07:14+05:30,1321,163.0,38.0,33.3,45.0,714,47,0,196.2
2025-11-25 13:08:18+05:30,1322,161.0,35.0,33.2,45.0,697,45,0,191.1
2025-11-25 13:09:21+05:30,1323,164.0,43.0,33.1,45.0,732,50,0,202.1
2025-11-25 13:10:22+05:30,1324,167.0,40.0,32.9,46.0,717,48,4,198.8
2025-11-25 13:11:24+05:30,1325,160.0,37.0,32.9,46.0,702,46,1,192.8
2025-11-25 13:12:26+05:30,1326,159.0,38.0,33.2,45.0,699,45,0,192.0
2025-11-25 13:13:26+05:30,1327,170.0,44.0,32.9,46.0,624,34,0,178.8
2025-11-25 13:14:29+05:30,1328,170.0,42.0,32.9,46.0,704,46,0,196.6
2025-11-25 13:15:30+05:30,1329,164.0,39.0,32.9,47.0,688,43,61,196.8
2025-11-25 13:16:32+05:30,1330,168.0,39.0,33.2,45.0,666,40,106,197.1
2025-11-25 13:17:34+05:30,1331,162.0,38.0,33.3,45.0,646,37,79,188.3
2025-11-25 13:18:35+05:30,1332,159.0,38.0,33.3,45.0,652,38,0,181.2
2025-11-25 13:19:37+05:30,1333,160.0,37.0,33.3,45.0,650,38,64,187.1
2025-11-25 13:20:39+05:30,1334,159.0,38.0,33.3,45.0,519,18,0,150.6
2025-11-25 13:21:41+05:30,1335,159.0,38.0,33.3,45.0,638,36,0,178.0
2025-11-25 13:22:43+05:30,1336,159.0,38.0,33.3,45.0,624,34,0,174.8
2025-11-25 13:23:45+05:30,1337,159.0,38.0,33.3,44.0,620,33,0,173.8
2025-11-25 13:24:46+05:30,1338,159.0,38.0,33.3,44.0,612,32,0,172.0
2025-11-25 13:25:48+05:30,1339,159.0,38.0,33.3,44.0,605,31,0,170.4
